CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;LATITUD;LONGITUD;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37776798175109;2.1157398188395122;BUS -15-54-57-157-D20--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.403685675641555;2.1154638719525036;BUS -60-66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39791712838104;2.1156221696890922;BUS -22-68-75--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33293797986663;2.1166101500245533;BUS -109--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.403432318329905;2.1159367898354793;BUS -60-66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40574337126507;2.1160279609000385;BUS -V7--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.4056346292185;2.1160907615591693;BUS -66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38697045106218;2.1166580659065404;BUS -7-67-75-L14-L97-L79--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.379748971717696;2.1168910647444106;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37956100669259;2.1169267462442405;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37951958573312;2.1174286548005203;BUS -D20--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38738255947697;2.1173232571967766;BUS -7-33-67-75-113-L14-L79-H6--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38846177392835;2.117441806390576;BUS -33--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39404949047364;2.1174373740581225;BUS -63-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40523519136483;2.1173494775719184;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38811484257923;2.1176721718548297;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.335864844898204;2.118395366405106;BUS -109--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.401571773500585;2.117639702751815;BUS -34--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.380026694964954;2.118219965112188;BUS -15--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.420196819633674;2.1176842951418777;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41966317784122;2.1178199301079452;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.42075099762293;2.117838690427857;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.393254482074774;2.1182293752813903;BUS -63-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33682691723046;2.119029457912208;BUS -21--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40580575275751;2.1182882909139824;BUS -60-66-130-V7--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40084860577824;2.118380794350753;BUS -34--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.405286838817204;2.118324366402793;BUS -66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38782998110141;2.118815915925941;BUS -L97--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40670460673085;2.1186290781644033;BUS -V7--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38084355677151;2.119033489319229;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38785339655091;2.1189471304669345;BUS -101--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40676923436458;2.118732435702988;BUS -60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.32645990768066;2.119858838076768;BUS -PR4--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38768392177807;2.119035522664931;BUS -H6--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.32677005432112;2.1199150326303995;BUS -109-PR4--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40002191670605;2.119012144611608;BUS -22-64-68-75--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40596454526369;2.1190949530440104;BUS -66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39994063573005;2.1192536590961186;BUS -22-64-68-75--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33619047800619;2.120129197224843;BUS -21-109--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40170600281889;2.1192855822122123;BUS -130--;;
